endpoint,granularity,split,treatment,seed,eps,tau,dist,n_train,n_test,threshold,acc_mae,acc_rmse,acc_spearman,acc_n_exact,viol_violation_rate,viol_right_violation_rate,viol_left_violation_rate,viol_n_censored,dec_threshold,dec_false_safe_rate,dec_false_liability_rate,dec_balanced_accuracy,dec_decision_regret,dec_n_resolvable,dec_n_positive,dec_n_negative,cov90,cov90_width,exceed_ece,split_kind,fold,feature_set,anchor_weight,censored_weight
ABCB1_IC50,measurement,random_fold3,weighted_tobit_anchor,0,8.0,0.85,gaussian,1943,486,5.6777807052660805,0.542099871874828,0.7889848761734299,0.7981383321819159,451,0.45714285714285713,1.0,0.4411764705882353,35,5.6777807052660805,0.1271186440677966,0.14516129032258066,0.8638600328048114,0.1701336837991293,484,236,248,0.5476718403547672,1.211191165345382,0.09122309632746185,random,3,morgan,1.0,8.0
ABCB1_IC50,measurement,random_fold3,weighted_tobit_anchor,1,2.0,0.85,gaussian,1943,486,5.6777807052660805,0.5305876627687318,0.768767881948803,0.8039079420097391,451,0.5714285714285714,1.0,0.5588235294117647,35,5.6777807052660805,0.1271186440677966,0.1774193548387097,0.8477310005467469,0.17462606502325745,484,236,248,0.5476718403547672,1.2052291722254138,0.07748259679679266,random,3,morgan,1.0,2.0
ABCB1_IC50,measurement,random_fold3,weighted_tobit_anchor,1,4.0,0.85,gaussian,1943,486,5.6777807052660805,0.5484127885687288,0.7930013664657143,0.7985596659185064,451,0.45714285714285713,1.0,0.4411764705882353,35,5.6777807052660805,0.19915254237288135,0.09274193548387097,0.8540527610716238,0.17758518983460028,484,236,248,0.5920177383592018,1.272334357768685,0.07900864022178156,random,3,morgan,1.0,4.0
ABCB1_IC50,measurement,random_fold3,weighted_tobit_anchor,1,8.0,0.85,gaussian,1943,486,5.6777807052660805,0.5500406253147839,0.7996823445637001,0.7948706898680051,451,0.42857142857142855,1.0,0.4117647058823529,35,5.6777807052660805,0.18220338983050846,0.09274193548387097,0.8625273373428103,0.1724054576530768,484,236,248,0.5875831485587583,1.2580245107802042,0.08796612711188649,random,3,morgan,1.0,8.0
ABCB1_IC50,measurement,random_fold4,weighted_tobit_anchor,0,2.0,0.85,gaussian,1944,485,5.698970004336019,0.5115135342000489,0.7114971386083607,0.8112362796175905,448,0.6486486486486487,1.0,0.6388888888888888,37,5.698970004336019,0.12962962962962962,0.17228464419475656,0.8490428630878069,0.1859604942955768,483,216,267,0.609375,1.3281856520685893,0.08902247055427748,random,4,morgan,1.0,2.0
ABCB1_IC50,measurement,random_fold4,weighted_tobit_anchor,0,4.0,0.85,gaussian,1944,485,5.698970004336019,0.5158680208800206,0.7194584169347282,0.8086418202036324,448,0.6486486486486487,1.0,0.6388888888888888,37,5.698970004336019,0.1574074074074074,0.13857677902621723,0.8520079067831876,0.19040974697840227,483,216,267,0.6205357142857143,1.4156715263533362,0.08893230160769318,random,4,morgan,1.0,4.0
ABCB1_IC50,measurement,random_fold4,weighted_tobit_anchor,0,8.0,0.85,gaussian,1944,485,5.698970004336019,0.5322627965003709,0.7303741690604161,0.8025079327489795,448,0.6486486486486487,1.0,0.6388888888888888,37,5.698970004336019,0.14351851851851852,0.15730337078651685,0.8495890553474823,0.20871383082509554,483,216,267,0.7276785714285714,2.021812321864003,0.06972622755403689,random,4,morgan,1.0,8.0
ABCB1_IC50,measurement,random_fold4,weighted_tobit_anchor,1,2.0,0.85,gaussian,1944,485,5.698970004336019,0.51161165171443,0.7141906574480437,0.804163496427799,448,0.6756756756756757,1.0,0.6666666666666666,37,5.698970004336019,0.125,0.1797752808988764,0.8476123595505618,0.18964818901607217,483,216,267,0.6138392857142857,1.3563360808870573,0.08483842743530157,random,4,morgan,1.0,2.0
ABCB1_IC50,measurement,random_fold4,weighted_tobit_anchor,1,4.0,0.85,gaussian,1944,485,5.698970004336019,0.5141303408157364,0.7161042170017258,0.8081166819180539,448,0.6486486486486487,1.0,0.6388888888888888,37,5.698970004336019,0.12037037037037036,0.18352059925093633,0.8480545151893466,0.1897596204655456,483,216,267,0.6138392857142857,1.403640722555499,0.08202652504520277,random,4,morgan,1.0,4.0
ABCB1_IC50,measurement,random_fold4,weighted_tobit_anchor,1,8.0,0.85,gaussian,1944,485,5.698970004336019,0.5218536438724807,0.7291620928641692,0.804059790125119,448,0.5405405405405406,1.0,0.5277777777777778,37,5.698970004336019,0.1712962962962963,0.1198501872659176,0.8544267582188931,0.18346235084602439,483,216,267,0.6160714285714286,1.3345231527129402,0.07900990694779701,random,4,morgan,1.0,8.0
CYP1A2_IC50,measurement,random_fold0,weighted_tobit_anchor,0,2.0,0.85,gaussian,3712,928,5.401160037315902,0.70413338711553,0.9643486958042738,0.6247938593580292,379,0.4972677595628415,0.6875,0.4915572232645403,549,5.401160037315902,0.2613065326633166,0.24892703862660945,0.744883214355037,0.25812551131028727,898,199,699,0.43007915567282323,4.0103570504350845,0.20317556139309642,random,0,morgan,1.0,2.0
